name,LATITUDE,LONGITUDE
National Library,1.29720240914801,103.854287271717
Pasir Ris Public Library,1.37235750960519,103.949439880186
Queenstown Public Library,1.29871263170447,103.805520397172
Sembawang Public Library,1.44819664827432,103.819498553738
Sengkang Public Library,1.39164107310365,103.894771922697
Serangoon Public Library,1.35072709374027,103.872256917786
Singapore Botanic Gardens' Library,1.30844628214519,103.818190193768
Tampines Regional Library,1.35333197430091,103.940268994596
Toa Payoh Public Library,1.33362463556477,103.85096929438
Woodlands Regional Library,1.43503700134939,103.786927526354
Yishun Public Library,1.42971547356642,103.835803458095
Central Arts Library,1.29762079440739,103.854408066444
Punggol Regional Library,1.4093200762839,103.905335818273
Choa Chu Kang Public Library,1.38495919705382,103.745039269848
Ang Mo Kio Public Library,1.37479006912036,103.845580674824
Bedok Public Library,1.32698939805286,103.931691125839
Bishan Public Library,1.3498506667736,103.848840445413
Bukit Batok Public Library,1.34970832762173,103.749274500587
Bukit Panjang Public Library,1.37993637366735,103.764350064878
Central Public Library,1.29742018061931,103.854234798536
Cheng San Public Library,1.3725726449182,103.893775348884
Clementi Public Library,1.31506201647581,103.764305614552
Geylang East Public Library,1.31744297942455,103.885837273218
library@harbourfront,1.26392174964736,103.82163145796
Jurong Regional Library,1.33289451520808,103.739242870677
Jurong West Public Library,1.34063599253795,103.704512325533
library@chinatown,1.28526073700342,103.844942912669
library@orchard,1.30040819039694,103.839669047112
Marine Parade Public Library,1.30479881590908,103.909449777954
National Archives of Singapore,1.29332950881488,103.848436882843
